Phase,Num_Pixels,Proportion (%),Mean_Al,StdDev_Al,Mean_Ca,StdDev_Ca,Mean_Ce,StdDev_Ce,Mean_Cr,StdDev_Cr,Mean_Fe,StdDev_Fe,Mean_K,StdDev_K,Mean_Mg,StdDev_Mg,Mean_Mn,StdDev_Mn,Mean_Na,StdDev_Na,Mean_P,StdDev_P,Mean_Si,StdDev_Si,Mean_Ti,StdDev_Ti,Mean_Zr,StdDev_Zr
Phase 0,41677,3.4349,4.0373,2.6786,88.5845,39.2526,4.0851,5.0001,4.7377,3.2707,1258.1986,94.8818,1.8230,5.5988,0.6453,1.1455,52.7864,19.9767,0.2093,0.5651,1.0737,1.8291,20.8862,10.5274,17.6667,34.8405,0.8845,1.6943
Phase 1,3246,0.2675,3.9908,3.3226,665.6922,191.8407,5.3835,5.4321,5.3303,3.1272,285.8272,174.9016,4.6910,12.1033,1.1815,1.4331,6.9436,5.9297,0.6183,1.0104,71.2622,26.2790,27.4051,15.4244,13.2027,35.7333,68.2329,25.3924
Phase 2,27361,2.2550,5.6291,3.6292,204.9571,94.4746,60.8951,27.8687,6.4626,4.1942,457.1663,144.3278,1.9865,3.9222,1.3039,1.5186,8.1282,4.8842,0.5116,0.8941,2.0770,2.3321,43.8727,13.6793,455.3714,226.9889,1.6406,2.1052
Phase 3,298737,24.6210,11.9628,4.9027,354.1103,120.4138,6.2189,5.6274,6.6775,4.4675,592.2899,117.8155,2.3743,4.9428,1.0750,1.4205,9.5216,4.3543,0.3898,0.6927,3.3773,3.2530,46.2866,12.7427,18.9792,36.9120,2.5777,2.9902
Phase 4,12852,1.0592,18.9167,6.4430,68.1366,61.0167,6.1827,4.9794,19.5798,20.1821,352.4855,146.3227,130.4800,37.3407,1.8972,1.7590,9.8848,6.2244,0.6976,1.0519,1.2267,2.3273,71.0746,12.5075,18.1527,30.4394,1.0182,2.1896
Phase 5,56208,4.6325,4.6385,3.1166,176.8866,59.2688,5.7997,4.4785,38.7760,12.9781,739.4683,113.3596,4.9879,8.4868,2.8013,2.1310,17.4996,6.4846,0.4936,0.8395,1.7050,1.6720,57.7467,12.3734,21.1328,26.0629,1.2734,1.4380
Phase 6,532276,43.8685,6.3729,3.3430,111.1614,75.5151,5.3183,5.0454,7.3642,4.5655,766.8911,109.9796,1.9827,4.4800,2.5203,2.0076,10.4760,5.0616,0.2329,0.4227,1.2739,1.5103,63.6916,13.0125,15.7747,31.1121,0.9767,1.3155
Phase 7,167711,13.8222,7.0131,3.7124,130.4442,94.2535,5.4211,5.2209,7.4758,4.8618,741.1989,116.7770,1.9834,4.6094,2.3180,1.9658,10.1887,4.8930,2.5379,0.8707,1.4599,1.7669,62.9856,12.7406,16.1595,32.7300,1.1236,1.5434
Phase 8,73276,6.0392,0.8656,1.4690,126.5799,81.8791,3.4231,2.4783,5.4412,3.0857,66.0460,89.3635,4.9208,3.2690,0.6946,1.1239,8.5750,3.7924,0.7343,1.0660,1.2462,1.4641,7.6194,10.8005,3.8635,7.8146,0.9690,1.2738
